,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Ordinary Shares Number,1033496721.0,1033496721.0,1033496721.0,1033496721.0,1033496721.0
Share Issued,1033496721.0,1033496721.0,1033496721.0,1033496721.0,1033496721.0
Net Debt,10591325000.0,10232232000.0,9717329000.0,9874721000.0,10042739000.0
Total Debt,11682961000.0,10974442000.0,10328105000.0,10308711000.0,10253596000.0
Tangible Book Value,7792211000.0,7433862000.0,7453866000.0,7427380000.0,7104174000.0
Invested Capital,19641657000.0,18582810000.0,17972573000.0,17919924000.0,17550422000.0
Working Capital,2177807000.0,1294248000.0,1357487000.0,612385000.0,1435877000.0
Net Tangible Assets,7792211000.0,7433862000.0,7453866000.0,7427380000.0,7104174000.0
Capital Lease Obligations,515000.0,614000.0,871000.0,1155000.0,1116000.0
Common Stock Equity,7959211000.0,7608982000.0,7645339000.0,7612368000.0,7297942000.0
Total Capitalization,18558114000.0,17242468000.0,16900406000.0,16065375000.0,16551012000.0
Total Equity Gross Minority Interest,7959211000.0,7608982000.0,7645339000.0,7612368000.0,7297942000.0
Stockholders Equity,7959211000.0,7608982000.0,7645339000.0,7612368000.0,7297942000.0
Other Equity Interest,-25500000.0,-25500000.0,-25500000.0,-25500000.0,-25500000.0
Retained Earnings,353646000.0,,728081000.0,686904000.0,365161000.0
Capital Stock,3067535000.0,3067535000.0,3067535000.0,3067535000.0,3067535000.0
Common Stock,3067535000.0,3067535000.0,3067535000.0,3067535000.0,3067535000.0
Total Liabilities Net Minority Interest,15309515000.0,14897524000.0,14166709000.0,13892498000.0,13732298000.0
Total Non Current Liabilities Net Minority Interest,13623190000.0,12612390000.0,12137088000.0,11306616000.0,12048193000.0
Derivative Product Liabilities,172338000.0,179282000.0,137213000.0,116865000.0,108451000.0
Tradeand Other Payables Non Current,197584000.0,206718000.0,258339000.0,233620000.0,244075000.0
Non Current Deferred Taxes Liabilities,2463383000.0,2404805000.0,2296814000.0,2319632000.0,2265091000.0
Long Term Debt And Capital Lease Obligation,10599038000.0,9633669000.0,9255344000.0,8453375000.0,9253089000.0
Long Term Capital Lease Obligation,135000.0,183000.0,277000.0,368000.0,19000.0
Long Term Debt,10598903000.0,9633486000.0,9255067000.0,8453007000.0,9253070000.0
Long Term Provisions,190847000.0,187916000.0,189378000.0,183124000.0,177487000.0
Current Liabilities,1686325000.0,2285134000.0,2029621000.0,2585882000.0,1684105000.0
Other Current Liabilities,56809000.0,54029000.0,51190000.0,49305000.0,46929000.0
Current Debt And Capital Lease Obligation,1083923000.0,1340773000.0,1072761000.0,1855336000.0,1000507000.0
Current Capital Lease Obligation,380000.0,431000.0,594000.0,787000.0,1097000.0
Current Debt,1083543000.0,1340342000.0,1072167000.0,1854549000.0,999410000.0
Pensionand Other Post Retirement Benefit Plans Current,19815000.0,11682000.0,3190000.0,4340000.0,5063000.0
Payables,525778000.0,878650000.0,902480000.0,676901000.0,631606000.0
Other Payable,133245000.0,285260000.0,340580000.0,296495000.0,123214000.0
Dividends Payable,53056000.0,231830000.0,190331000.0,111030000.0,301581000.0
Total Tax Payable,85634000.0,74101000.0,74733000.0,44237000.0,46274000.0
Accounts Payable,253843000.0,287459000.0,296836000.0,225139000.0,160537000.0
Total Assets,23268726000.0,22506506000.0,21812048000.0,21504866000.0,21030240000.0
Total Non Current Assets,19404594000.0,18927124000.0,18424940000.0,18306599000.0,17910258000.0
Financial Assets,2322000.0,3691000.0,2760000.0,2947000.0,3761000.0
Investmentin Financial Assets,41064000.0,39785000.0,40350000.0,5405000.0,5265000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,41064000.0,39785000.0,40350000.0,5405000.0,5265000.0
Long Term Equity Investment,3226210000.0,3115984000.0,3115536000.0,3549520000.0,3762365000.0
Investmentsin Joint Venturesat Cost,1314704000.0,1264577000.0,,,
Investmentsin Associatesat Cost,1773907000.0,1719323000.0,1674331000.0,1754329000.0,1997389000.0
Investmentsin Subsidiariesat Cost,137599000.0,132084000.0,1441205000.0,1795191000.0,1764976000.0
Goodwill And Other Intangible Assets,167000000.0,175120000.0,191473000.0,184988000.0,193768000.0
Net PPE,215021000.0,223164000.0,223475000.0,227704000.0,220123000.0
Gross PPE,215021000.0,223164000.0,223475000.0,227704000.0,220123000.0
Other Properties,215021000.0,223164000.0,223475000.0,227704000.0,220123000.0
Current Assets,3864132000.0,3579382000.0,3387108000.0,3198267000.0,3119982000.0
Other Current Assets,,,,,6383000.0
Hedging Assets Current,3545000.0,262000.0,2122000.0,12881000.0,40875000.0
Restricted Cash,,,,,592879000.0
Other Receivables,1832686000.0,1882477000.0,1822787000.0,1813687000.0,1741607000.0
Taxes Receivable,150778000.0,148487000.0,163390000.0,217389000.0,256624000.0
Accounts Receivable,273463000.0,262410000.0,325605000.0,257427000.0,271873000.0
Cash Cash Equivalents And Short Term Investments,1603660000.0,1285746000.0,1073204000.0,896883000.0,209741000.0
Other Short Term Investments,512539000.0,544150000.0,463299000.0,464048000.0,592879000.0
Cash And Cash Equivalents,1091121000.0,741596000.0,609905000.0,432835000.0,209741000.0
Cash Equivalents,1087428000.0,739340000.0,607892000.0,428793000.0,208668000.0
Cash Financial,3693000.0,2256000.0,2013000.0,4042000.0,1073000.0
