,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,2733268.588771,-13349760.0,0.0,1642716.328858,-1096102.990769
Tax Rate For Calcs,0.109256,0.34,0.34,0.165981,0.050179
Normalized EBITDA,120972000.0,312913000.0,182201000.0,155576000.0,393908000.0
Total Unusual Items,25017000.0,-39264000.0,,9897000.0,-21844000.0
Total Unusual Items Excluding Goodwill,25017000.0,-39264000.0,,9897000.0,-21844000.0
Net Income From Continuing Operation Net Minority Interest,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Reconciled Depreciation,24599000.0,24337000.0,25626000.0,25704000.0,21317000.0
Reconciled Cost Of Revenue,303770000.0,386198000.0,322129000.0,300310000.0,422210000.0
EBITDA,145989000.0,273649000.0,182201000.0,165473000.0,372064000.0
EBIT,121390000.0,249312000.0,156575000.0,139769000.0,350747000.0
Net Interest Income,21075000.0,29503000.0,84737000.0,27181000.0,30393000.0
Interest Expense,6724000.0,3653000.0,26491000.0,3844000.0,2910000.0
Interest Income,2568000.0,689000.0,111228000.0,3524000.0,3526000.0
Normalized Income,79854268.588771,275298240.0,143575000.0,105109716.328858,351130897.009231
Net Income From Continuing And Discontinued Operation,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Total Expenses,456636000.0,370013000.0,568013000.0,462865000.0,447224000.0
Rent Expense Supplemental,1445000.0,1201000.0,,613000.0,1122000.0
Diluted Average Shares,900950709.0,,901853015.0,901836165.0,
Basic Average Shares,900882632.0,,901853015.0,901685055.0,
Diluted EPS,0.1134,,0.1592,0.1257,
Basic EPS,0.1134,,0.1592,0.1257,
Diluted NI Availto Com Stockholders,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Net Income Common Stockholders,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Net Income Including Noncontrolling Interests,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Net Income Continuous Operations,102138000.0,249384000.0,143575000.0,113364000.0,330383000.0
Tax Provision,12528000.0,-3725000.0,-13491000.0,22561000.0,17454000.0
Pretax Income,114666000.0,245659000.0,130084000.0,135925000.0,347837000.0
Special Income Charges,-673000.0,-63254000.0,,-17455000.0,
Other Special Charges,-647000.0,8838000.0,,21331000.0,
Write Off,,,,0.0,
Impairment Of Capital Assets,1151000.0,,,1222000.0,
Restructuring And Mergern Acquisition,169000.0,155000.0,,758000.0,
Net Non Operating Interest Income Expense,21075000.0,29503000.0,84737000.0,27181000.0,30393000.0
Total Other Finance Cost,-25231000.0,-32467000.0,,-27501000.0,-29777000.0
Interest Expense Non Operating,6724000.0,3653000.0,26491000.0,3844000.0,2910000.0
Interest Income Non Operating,2568000.0,689000.0,111228000.0,3524000.0,3526000.0
Operating Income,39044000.0,145995000.0,-12737000.0,64587000.0,210536000.0
Operating Expense,152866000.0,-16185000.0,245884000.0,162555000.0,25014000.0
Other Operating Expenses,19499000.0,14805000.0,18846000.0,9022000.0,12946000.0
Depreciation And Amortization In Income Statement,4962000.0,5047000.0,,7652000.0,3479000.0
Amortization,,,,171000.0,
Depreciation Income Statement,4962000.0,5047000.0,,7652000.0,3479000.0
Selling General And Administration,121709000.0,161810000.0,228827000.0,129186000.0,170752000.0
Selling And Marketing Expense,115984000.0,154802000.0,188042000.0,122450000.0,166340000.0
General And Administrative Expense,5725000.0,7008000.0,40785000.0,6736000.0,4412000.0
Rent And Landing Fees,1445000.0,1201000.0,,613000.0,1122000.0
Gross Profit,191910000.0,129810000.0,233147000.0,227142000.0,235550000.0
Cost Of Revenue,303770000.0,386198000.0,322129000.0,300310000.0,422210000.0
Total Revenue,495680000.0,516008000.0,555276000.0,527452000.0,657760000.0
Operating Revenue,495680000.0,516008000.0,555276000.0,527452000.0,657760000.0
