,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-3335558000.0,975975000.0,9776570000.0,-24605895000.0,-12478597000.0,
Repurchase Of Capital Stock,,16751000.0,-108745000.0,,,-101531000.0
Repayment Of Debt,-111185000.0,,,,-3739031000.0,-813928000.0
Issuance Of Debt,3323215000.0,6970913000.0,3991671000.0,,,4055747000.0
Issuance Of Capital Stock,35410000.0,,,,0.0,
Capital Expenditure,,-443046000.0,-33553000.0,-209978000.0,-1177502000.0,
End Cash Position,85620453000.0,89033044000.0,81187614000.0,68914337000.0,84402355000.0,
Beginning Cash Position,89033044000.0,81187614000.0,68914337000.0,84402355000.0,102525847000.0,
Effect Of Exchange Rate Changes,228532000.0,0.0,352906000.0,336487000.0,199882000.0,
Changes In Cash,-3641123000.0,7845429000.0,11920371000.0,-15824505000.0,-18323374000.0,
Financing Cash Flow,-608793000.0,6749969000.0,2215698000.0,8505098000.0,-5818432000.0,
Net Other Financing Charges,-1401078000.0,-236388000.0,689022000.0,-8093000.0,-359583000.0,
Interest Paid Cff,,,,,-1719818000.0,
Cash Dividends Paid,-2449999000.0,0.0,-2300000000.0,0.0,-1719818000.0,
Common Stock Dividend Paid,-2449999000.0,0.0,-2300000000.0,0.0,-1719818000.0,
Net Common Stock Issuance,35410000.0,16751000.0,-108745000.0,,0.0,-101531000.0
Common Stock Payments,,16751000.0,-108745000.0,,,-101531000.0
Common Stock Issuance,35410000.0,,,,0.0,
Net Issuance Payments Of Debt,3212030000.0,6970913000.0,3991671000.0,8530968000.0,-3739031000.0,
Net Long Term Debt Issuance,3212030000.0,6970913000.0,3991671000.0,8530968000.0,-3739031000.0,
Long Term Debt Payments,-111185000.0,,,,-3739031000.0,-813928000.0
Long Term Debt Issuance,3323215000.0,6970913000.0,3991671000.0,,,4055747000.0
Investing Cash Flow,303228000.0,-323561000.0,-105450000.0,66314000.0,-1203847000.0,
Dividends Received Cfi,7552000.0,104701000.0,9597000.0,222002000.0,327930000.0,
Net Investment Purchase And Sale,34789000.0,14784000.0,-81494000.0,54290000.0,-354275000.0,
Net Business Purchase And Sale,,,,,,-440746000.0
Net Intangibles Purchase And Sale,184783000.0,-311410000.0,-1944000.0,-238707000.0,-1048625000.0,
Net PPE Purchase And Sale,76104000.0,-131636000.0,-31609000.0,28729000.0,-128877000.0,
Operating Cash Flow,-3335558000.0,1419021000.0,9810123000.0,-24395917000.0,-11301095000.0,
Change In Working Capital,-13175721000.0,-4906121000.0,3385637000.0,-28146089000.0,-18219605000.0,
Change In Other Current Liabilities,5789376000.0,15930591000.0,1812391000.0,9282842000.0,-366155000.0,
Change In Other Current Assets,501112000.0,-1110249000.0,-1226218000.0,-1268076000.0,-5693657000.0,
Change In Receivables,,,,,,-55373802000.0
Other Non Cash Items,3258408000.0,843196000.0,631633000.0,-1129743000.0,2319864000.0,
Provisionand Write Offof Assets,1917853000.0,1979269000.0,1710789000.0,1198394000.0,1659743000.0,
Deferred Tax,-321235000.0,-833631000.0,-387633000.0,-569466000.0,-611109000.0,
Depreciation And Amortization,320994000.0,301059000.0,262675000.0,265880000.0,312637000.0,
Depreciation,320994000.0,301059000.0,262675000.0,265880000.0,312637000.0,
Net Foreign Currency Exchange Gain Loss,-228532000.0,-10511000.0,-380010000.0,-281058000.0,-199882000.0,
Net Income From Continuing Operations,4570396000.0,4390529000.0,4337375000.0,4009226000.0,3209920000.0,
