,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,1877597280.361858,-127769410.011821,,1770362178.238708,3169024635.473672,-5185748743.188889
Tax Rate For Calcs,0.325363,0.136296,,0.313441,0.362328,0.3953
Normalized EBITDA,4941840000.0,5748180000.0,5321161000.0,6097667000.0,5182778000.0,
Total Unusual Items,5770777000.0,-937438000.0,,5648145000.0,8746275000.0,-13118498000.0
Total Unusual Items Excluding Goodwill,5770777000.0,-937438000.0,,5648145000.0,8746275000.0,-13118498000.0
Net Income From Continuing Operation Net Minority Interest,4305404000.0,109218000.0,,5004695000.0,6340760000.0,-6743658000.0
Reconciled Depreciation,2806652000.0,3071041000.0,,2839264000.0,2497422000.0,2809949000.0
Reconciled Cost Of Revenue,5259349000.0,6298824000.0,,8608124000.0,5505579000.0,6218402000.0
EBITDA,10712617000.0,4810742000.0,7734262000.0,11745812000.0,13929053000.0,
EBIT,7905965000.0,1739701000.0,,8906548000.0,11431631000.0,-9630601000.0
Net Interest Income,-1189871000.0,-1310363000.0,,-1223180000.0,-1201232000.0,-1256212000.0
Interest Expense,1514393000.0,1605200000.0,,1606439000.0,1476383000.0,1509762000.0
Interest Income,464425000.0,439811000.0,,383259000.0,348428000.0,385706000.0
Normalized Income,412224280.361858,918886589.988179,,1126912178.238708,763509635.473672,1189091256.811111
Net Income From Continuing And Discontinued Operation,4305404000.0,109218000.0,,5004695000.0,6340760000.0,-6743658000.0
Total Expenses,9137378000.0,10590554000.0,,10248746000.0,9125639000.0,10945836000.0
Total Operating Income As Reported,1775136000.0,3545295000.0,,,2259035000.0,4415821000.0
Diluted Average Shares,1238951000.0,1235908788.0,,1239037379.0,1242242000.0,
Basic Average Shares,1235918000.0,1235908788.0,,1235959094.0,1239071000.0,
Diluted EPS,3.47504,0.093995,,4.03918,5.10429,
Basic EPS,3.48357,0.093995,,4.04924,5.11735,
Diluted NI Availto Com Stockholders,4305404000.0,109218000.0,,5004695000.0,6340760000.0,-6743658000.0
Net Income Common Stockholders,4305404000.0,109218000.0,,5004695000.0,6340760000.0,-6743658000.0
Net Income,4305404000.0,109218000.0,,5004695000.0,6340760000.0,-6743658000.0
Minority Interests,-6587000.0,-6951000.0,,,-7418000.0,-7086000.0
Net Income Including Noncontrolling Interests,4311991000.0,116169000.0,,5011953000.0,6348178000.0,-6736572000.0
Net Income Continuous Operations,4311991000.0,116169000.0,,5011953000.0,6348178000.0,-6736572000.0
Tax Provision,2079581000.0,18332000.0,,2288156000.0,3607070000.0,-4403791000.0
Pretax Income,6391572000.0,134501000.0,,7300109000.0,9955248000.0,-11140363000.0
Other Income Expense,5750405000.0,-1078300000.0,,5476140000.0,8729198000.0,-13115313000.0
Other Non Operating Income Expenses,,,,,520000.0,
Special Income Charges,-164577000.0,1141959000.0,,,-151170000.0,1181474000.0
Gain On Sale Of Ppe,32052000.0,-199477000.0,,,-46307000.0,-101104000.0
Other Special Charges,196629000.0,175022000.0,,,104863000.0,
Earnings From Equity Interest,-20372000.0,-140862000.0,,-172005000.0,-17077000.0,997000.0
Gain On Sale Of Security,5935354000.0,-2079397000.0,,5648145000.0,8897445000.0,-14299972000.0
Net Non Operating Interest Income Expense,-1189871000.0,-1310363000.0,,-1223180000.0,-1201232000.0,-1256212000.0
Total Other Finance Cost,139903000.0,144974000.0,,,73277000.0,132156000.0
Interest Expense Non Operating,1514393000.0,1605200000.0,,1606439000.0,1476383000.0,1509762000.0
Interest Income Non Operating,464425000.0,439811000.0,,383259000.0,348428000.0,385706000.0
Operating Income,1831038000.0,2523164000.0,,3047149000.0,2427282000.0,3231162000.0
Operating Expense,1329802000.0,1492102000.0,,1640622000.0,1396472000.0,2185119000.0
Other Operating Expenses,-85883000.0,-174812000.0,,154906000.0,-34493000.0,346218000.0
Depreciation Amortization Depletion Income Statement,258425000.0,271413000.0,,,273834000.0,267634000.0
Depletion Income Statement,,-6917000.0,,,2532000.0,-8103000.0
Depreciation And Amortization In Income Statement,258425000.0,278330000.0,,,273834000.0,275737000.0
Selling General And Administration,1157260000.0,1395501000.0,,1485716000.0,1157131000.0,1571267000.0
Selling And Marketing Expense,421275000.0,531642000.0,,838250000.0,423667000.0,525764000.0
General And Administrative Expense,735985000.0,863859000.0,,647466000.0,733464000.0,1045503000.0
Other Gand A,180563000.0,267479000.0,,647466000.0,240269000.0,276281000.0
Salaries And Wages,555422000.0,596380000.0,,,493195000.0,769222000.0
Gross Profit,3160840000.0,4015266000.0,,4687771000.0,3823754000.0,5416281000.0
Cost Of Revenue,7807576000.0,9098452000.0,,8608124000.0,7729167000.0,8760717000.0
Total Revenue,10968416000.0,13113718000.0,,13295895000.0,11552921000.0,14176998000.0
Excise Taxes,524986000.0,626531000.0,,,530295000.0,665045000.0
Operating Revenue,13721877000.0,15746020000.0,,13295895000.0,13931964000.0,16568155000.0
