,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1145907000.0,-2741711000.0,2955154000.0,-4383425000.0,
Repurchase Of Capital Stock,-102728000.0,-136000.0,-36248000.0,-1780000.0,
Repayment Of Debt,-8343973000.0,-5326418000.0,-5654103000.0,-755445000.0,
Issuance Of Debt,7972592000.0,8739929000.0,3268074000.0,6630977000.0,
Capital Expenditure,-244502000.0,-227602000.0,-271998000.0,-211560000.0,
End Cash Position,1322044000.0,677895000.0,133394000.0,551765000.0,
Beginning Cash Position,677895000.0,133394000.0,551765000.0,146030000.0,
Changes In Cash,644149000.0,544501000.0,-418371000.0,405735000.0,
Financing Cash Flow,-483583000.0,3285632000.0,-3373485000.0,5084343000.0,
Net Other Financing Charges,45576000.0,-127743000.0,-813008000.0,-341771000.0,
Cash Dividends Paid,-55050000.0,,-138200000.0,-447638000.0,-106614000.0
Net Common Stock Issuance,-102728000.0,-136000.0,-36248000.0,-1780000.0,
Common Stock Payments,-102728000.0,-136000.0,-36248000.0,-1780000.0,
Net Issuance Payments Of Debt,-371381000.0,3413511000.0,-2386029000.0,5875532000.0,
Net Long Term Debt Issuance,-371381000.0,3413511000.0,-2386029000.0,5875532000.0,
Long Term Debt Payments,-8343973000.0,-5326418000.0,-5654103000.0,-755445000.0,
Long Term Debt Issuance,7972592000.0,8739929000.0,3268074000.0,6630977000.0,
Investing Cash Flow,-262677000.0,-227022000.0,-272038000.0,-506743000.0,
Net Other Investing Changes,,,-40000.0,,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,
Sale Of Investment,,,,,48000.0
Purchase Of Investment,0.0,0.0,0.0,0.0,
Net Business Purchase And Sale,-18175000.0,0.0,-40000.0,-295183000.0,
Sale Of Business,0.0,0.0,,7701000.0,19996000.0
Purchase Of Business,-18175000.0,0.0,-40000.0,-295183000.0,
Net PPE Purchase And Sale,-244502000.0,-227602000.0,-271998000.0,-211560000.0,
Purchase Of PPE,-244502000.0,-227602000.0,-271998000.0,-211560000.0,
Operating Cash Flow,1390409000.0,-2514109000.0,3227152000.0,-4171865000.0,
Taxes Refund Paid,0.0,-2159000.0,-160131000.0,-88566000.0,
Interest Paid Cfo,-2579065000.0,-2058156000.0,-1711752000.0,-1415924000.0,
Change In Working Capital,-827183000.0,-378213000.0,2148826000.0,-442914000.0,
Change In Other Current Liabilities,-161311000.0,-70210000.0,-66453000.0,-184535000.0,
Change In Other Current Assets,-105374000.0,-90241000.0,-12260000.0,8269000.0,
Change In Accrued Expense,,,,-184535000.0,39738000.0
Change In Payable,115675000.0,-49260000.0,2486421000.0,61565000.0,
Change In Receivables,-676173000.0,-168502000.0,-258882000.0,-328213000.0,
Other Non Cash Items,1605809000.0,3407759000.0,1188265000.0,1169954000.0,
Stock Based Compensation,,,0.0,0.0,15696000.0
Provisionand Write Offof Assets,128188000.0,72219000.0,88325000.0,65335000.0,
Depreciation And Amortization,2430030000.0,2080489000.0,2237679000.0,1134430000.0,
Depreciation,2430030000.0,2080489000.0,2237679000.0,1134430000.0,
Gain Loss On Investment Securities,7707079000.0,5601020000.0,5567031000.0,4751126000.0,
Net Income From Continuing Operations,347601000.0,309523000.0,-836809000.0,715409000.0,
