,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,103070000.0,68448000.0,147726000.0,934354000.0,
Repurchase Of Capital Stock,-10193000.0,0.0,,,
Repayment Of Debt,-236983000.0,-70512000.0,-67114000.0,-71663000.0,
Issuance Of Debt,,,,0.0,2785000.0
Issuance Of Capital Stock,200000000.0,196099000.0,0.0,,
Capital Expenditure,-300116000.0,-288672000.0,-328839000.0,-260250000.0,
End Cash Position,372724000.0,464086000.0,341787000.0,474102000.0,
Beginning Cash Position,464086000.0,341787000.0,474102000.0,216512000.0,
Effect Of Exchange Rate Changes,0.0,46000.0,235000.0,,
Changes In Cash,-91362000.0,122253000.0,-132550000.0,257590000.0,
Financing Cash Flow,-223547000.0,-137694000.0,-363910000.0,-555123000.0,
Net Other Financing Charges,,,,,-2712000.0
Cash Dividends Paid,-108639000.0,-173618000.0,-225917000.0,-448753000.0,
Common Stock Dividend Paid,,,,-448753000.0,-104559000.0
Net Common Stock Issuance,189807000.0,196099000.0,0.0,,
Common Stock Payments,-10193000.0,0.0,,,
Common Stock Issuance,200000000.0,196099000.0,0.0,,
Net Issuance Payments Of Debt,-236983000.0,-70512000.0,-67114000.0,-71663000.0,
Net Long Term Debt Issuance,-236983000.0,-70512000.0,-67114000.0,-71663000.0,
Long Term Debt Payments,-236983000.0,-70512000.0,-67114000.0,-71663000.0,
Long Term Debt Issuance,,,,0.0,2785000.0
Investing Cash Flow,-271001000.0,-97173000.0,-245205000.0,-381891000.0,
Dividends Received Cfi,0.0,0.0,0.0,,
Net Investment Purchase And Sale,44155000.0,238507000.0,81607000.0,-123022000.0,
Purchase Of Investment,,,,-123022000.0,-250098000.0
Net Business Purchase And Sale,-16325000.0,-48799000.0,0.0,,
Purchase Of Business,0.0,0.0,0.0,,
Net PPE Purchase And Sale,1285000.0,1791000.0,2027000.0,1381000.0,
Sale Of PPE,1285000.0,1791000.0,2027000.0,1381000.0,
Purchase Of PPE,,,,,-81321000.0
Capital Expenditure Reported,-300116000.0,-288672000.0,-328839000.0,-260250000.0,
Operating Cash Flow,403186000.0,357120000.0,476565000.0,1194604000.0,
Taxes Refund Paid,-16750000.0,-44602000.0,-43537000.0,-204652000.0,
Interest Paid Cfo,-26299000.0,-26452000.0,-33351000.0,-35468000.0,
Change In Working Capital,162826000.0,-21946000.0,47727000.0,301238000.0,
Change In Other Current Liabilities,-13706000.0,-23430000.0,-7709000.0,80177000.0,
Change In Other Current Assets,-6809000.0,-23176000.0,-4058000.0,8084000.0,
Change In Accrued Expense,-8413000.0,-2587000.0,-32184000.0,22333000.0,
Change In Payable,60682000.0,13081000.0,25282000.0,211845000.0,
Change In Prepaid Assets,0.0,167000.0,2000000.0,2000000.0,
Change In Inventory,66551000.0,-23114000.0,64935000.0,-157549000.0,
Change In Receivables,64521000.0,37113000.0,-539000.0,134348000.0,
Other Non Cash Items,-205803000.0,-169426000.0,-119908000.0,-81433000.0,
Provisionand Write Offof Assets,20053000.0,18976000.0,151000.0,-3166000.0,
Deferred Tax,-1221000.0,7183000.0,24888000.0,-3515000.0,
Depreciation And Amortization,202201000.0,194899000.0,151595000.0,121275000.0,
Depreciation,202201000.0,194899000.0,151595000.0,121275000.0,
Pension And Employee Benefit Expense,3012000.0,3490000.0,1579000.0,-17954000.0,
Net Income From Continuing Operations,188676000.0,327754000.0,382885000.0,1062474000.0,
