,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,322956000.0,263406000.0,374572000.0,400461000.0,292992000.0
Repayment Of Debt,-148137000.0,-197812000.0,-155231000.0,-140687000.0,-159542000.0
Issuance Of Debt,2002652000.0,1060019000.0,904694000.0,8825000.0,6470000.0
Capital Expenditure,-210932000.0,-228919000.0,-190800000.0,-161649000.0,-181728000.0
End Cash Position,2242819000.0,503654000.0,909034000.0,539680000.0,642082000.0
Beginning Cash Position,503654000.0,561203000.0,539680000.0,642082000.0,886586000.0
Changes In Cash,1739165000.0,-57549000.0,369354000.0,-102402000.0,-244504000.0
Financing Cash Flow,1797036000.0,492499000.0,390913000.0,-167977000.0,-172863000.0
Net Other Financing Charges,-23959000.0,25259000.0,-8933000.0,-9209000.0,
Interest Paid Cff,-3000.0,-217922000.0,-235638000.0,0.0,0.0
Cash Dividends Paid,-7000.0,-140268000.0,,,0.0
Common Stock Dividend Paid,,,,0.0,
Net Issuance Payments Of Debt,1854515000.0,862207000.0,749463000.0,-131862000.0,-153072000.0
Net Long Term Debt Issuance,1854515000.0,862207000.0,749463000.0,-131862000.0,-153072000.0
Long Term Debt Payments,-148137000.0,-197812000.0,-155231000.0,-140687000.0,-159542000.0
Long Term Debt Issuance,2002652000.0,1060019000.0,904694000.0,8825000.0,6470000.0
Investing Cash Flow,-591759000.0,-1042373000.0,-586931000.0,-496535000.0,-546361000.0
Net Other Investing Changes,-449074000.0,-599181000.0,-441526000.0,-356143000.0,-396927000.0
Net Investment Purchase And Sale,54748000.0,-230743000.0,39395000.0,18162000.0,40986000.0
Sale Of Investment,54748000.0,80228000.0,39855000.0,18162000.0,
Purchase Of Investment,,-310971000.0,,,-155353000.0
Net Business Purchase And Sale,,,,,-10436000.0
Purchase Of Business,,,,,-10436000.0
Net Intangibles Purchase And Sale,-193816000.0,-203226000.0,-179497000.0,-152965000.0,-152211000.0
Purchase Of Intangibles,-193816000.0,-203226000.0,-179497000.0,-152965000.0,-152211000.0
Net PPE Purchase And Sale,-3617000.0,-9223000.0,-5303000.0,-5589000.0,-27773000.0
Sale Of PPE,13499000.0,16470000.0,6000000.0,3095000.0,1744000.0
Purchase Of PPE,-17116000.0,-25693000.0,-11303000.0,-8684000.0,-29517000.0
Operating Cash Flow,533888000.0,492325000.0,565372000.0,562110000.0,474720000.0
Taxes Refund Paid,-130266000.0,-113488000.0,-89735000.0,-127616000.0,-101481000.0
Interest Paid Cfo,-154452000.0,-163584000.0,-132281000.0,-124374000.0,-128742000.0
Change In Working Capital,25450000.0,-41364000.0,46645000.0,67377000.0,648906000.0
Change In Other Current Liabilities,,,,,648972000.0
Change In Other Current Assets,-4852000.0,-3499000.0,38945000.0,15748000.0,10088000.0
Change In Payable,96446000.0,66490000.0,-1087000.0,199351000.0,115808000.0
Change In Prepaid Assets,2092000.0,2338000.0,2233000.0,2039000.0,2144000.0
Change In Inventory,1761000.0,546000.0,2682000.0,-1210000.0,1561000.0
Change In Receivables,-118498000.0,-121193000.0,51160000.0,-190082000.0,-106137000.0
Other Non Cash Items,309631000.0,225650000.0,93802000.0,76780000.0,346661000.0
Provisionand Write Offof Assets,92884000.0,79891000.0,78345000.0,59440000.0,63474000.0
Deferred Tax,-41473000.0,13584000.0,-11423000.0,-10225000.0,54991000.0
Depreciation And Amortization,255251000.0,247454000.0,235357000.0,219757000.0,209617000.0
Depreciation,255251000.0,247454000.0,235357000.0,219757000.0,209617000.0
Pension And Employee Benefit Expense,0.0,-1328000.0,69000.0,-69000.0,-160000.0
Gain Loss On Investment Securities,-96004000.0,-24428000.0,-29282000.0,-24388000.0,-22639000.0
Net Foreign Currency Exchange Gain Loss,-81926000.0,,78797000.0,-1647000.0,
Gain Loss On Sale Of PPE,-13311000.0,,5637000.0,-1434000.0,
Net Income From Continuing Operations,368104000.0,336964000.0,289441000.0,428509000.0,271930000.0
