,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1593263000.0,-2491818000.0,2020143000.0,1808619000.0,
Repayment Of Debt,-2486873000.0,-2462243000.0,-1497918000.0,-3489879000.0,
Issuance Of Debt,4895264000.0,4016631000.0,3450536000.0,788790000.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-1752248000.0,-6646060000.0,-2565799000.0,-1528874000.0,
End Cash Position,3358552000.0,3958758000.0,5255767000.0,2235887000.0,
Beginning Cash Position,3958758000.0,5255767000.0,2235887000.0,5156406000.0,
Changes In Cash,-600206000.0,-1297009000.0,3019880000.0,-2920519000.0,
Financing Cash Flow,-265719000.0,459253000.0,476352000.0,-4473575000.0,
Net Other Financing Charges,67239000.0,38864000.0,903330000.0,513545000.0,
Cash Dividends Paid,-2741349000.0,-1133999000.0,-2379596000.0,-2286031000.0,
Common Stock Dividend Paid,-2741349000.0,-1133999000.0,-2379596000.0,-2286031000.0,
Net Preferred Stock Issuance,,,,,0.0
Preferred Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,2408391000.0,1554388000.0,1952618000.0,-2701089000.0,
Net Long Term Debt Issuance,2408391000.0,1554388000.0,1952618000.0,-2701089000.0,
Long Term Debt Payments,-2486873000.0,-2462243000.0,-1497918000.0,-3489879000.0,
Long Term Debt Issuance,4895264000.0,4016631000.0,3450536000.0,788790000.0,
Investing Cash Flow,-3679998000.0,-5910504000.0,-2042414000.0,-1784437000.0,
Net Other Investing Changes,-849079000.0,-911666000.0,-445098000.0,-337344000.0,
Dividends Received Cfi,704351000.0,937500000.0,1040000000.0,503750000.0,
Net Investment Purchase And Sale,,,,0.0,32439000.0
Sale Of Investment,,,,0.0,32439000.0
Purchase Of Investment,,,,-289557000.0,-243432000.0
Net Business Purchase And Sale,-1783022000.0,709722000.0,-71517000.0,-421969000.0,
Sale Of Business,513339000.0,3090641000.0,36482000.0,299829000.0,
Purchase Of Business,-2296361000.0,-2380919000.0,-107999000.0,-721798000.0,
Net PPE Purchase And Sale,-1752248000.0,-6646060000.0,-2565799000.0,-1528874000.0,
Purchase Of PPE,-1752248000.0,-6646060000.0,-2565799000.0,-1528874000.0,
Operating Cash Flow,3345511000.0,4154242000.0,4585942000.0,3337493000.0,
Taxes Refund Paid,-615695000.0,-1007572000.0,-360848000.0,-488220000.0,
Interest Paid Cfo,-1642118000.0,-1377917000.0,-1120733000.0,-1065683000.0,
Change In Working Capital,986167000.0,1331764000.0,869168000.0,166170000.0,
Change In Other Current Liabilities,55808000.0,369045000.0,109173000.0,-356751000.0,
Change In Other Current Assets,424158000.0,463669000.0,169041000.0,372231000.0,
Change In Payable,20826000.0,21491000.0,-21323000.0,-109900000.0,
Change In Inventory,,,,,-48522000.0
Change In Receivables,534052000.0,522637000.0,662047000.0,302121000.0,
Other Non Cash Items,197230000.0,629658000.0,761167000.0,1024371000.0,
Depreciation And Amortization,1392171000.0,1072024000.0,924259000.0,989800000.0,
Amortization Cash Flow,,,219045000.0,199959000.0,
Depreciation,1392171000.0,1072024000.0,924259000.0,789841000.0,
Gain Loss On Investment Securities,108950000.0,-88462000.0,19920000.0,2301000.0,
Net Foreign Currency Exchange Gain Loss,,,,,1793133000.0
Gain Loss On Sale Of Business,-20309000.0,-1352048000.0,1287320000.0,84518000.0,
Net Income From Continuing Operations,3626519000.0,5705971000.0,4397300000.0,3285294000.0,
