,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,8081230.0,17332411.141921,-158130.0,50184.0,3586845.0
Tax Rate For Calcs,0.295,0.180405,0.315,0.153,0.201
Normalized EBITDA,121472000.0,66029000.0,177093000.0,247400000.0,161208000.0
Total Unusual Items,27394000.0,96075000.0,-502000.0,328000.0,17845000.0
Total Unusual Items Excluding Goodwill,27394000.0,96075000.0,-502000.0,328000.0,17845000.0
Net Income From Continuing Operation Net Minority Interest,19416000.0,39016000.0,42076000.0,112068000.0,60803000.0
Reconciled Depreciation,56948000.0,51372000.0,51824000.0,49339000.0,52218000.0
Reconciled Cost Of Revenue,283099000.0,262995000.0,276098000.0,197813000.0,249163000.0
EBITDA,148866000.0,162104000.0,176591000.0,247728000.0,179053000.0
EBIT,91918000.0,110732000.0,124767000.0,198389000.0,126835000.0
Net Interest Income,-62602000.0,-60390000.0,-57898000.0,-57645000.0,-48535000.0
Interest Expense,64369000.0,63128000.0,63382000.0,66037000.0,51229000.0
Interest Income,2709000.0,3576000.0,6181000.0,9067000.0,4927000.0
Normalized Income,103230.0,-39726588.858079,42419870.0,111790184.0,46544845.0
Net Income From Continuing And Discontinued Operation,19416000.0,37997000.0,41111000.0,104247000.0,58695000.0
Total Expenses,347422000.0,340722000.0,338386000.0,244460000.0,316854000.0
Diluted Average Shares,230501219.0,230501219.0,231474386.0,231630552.0,232402252.0
Basic Average Shares,230501219.0,230501219.0,231474386.0,231630552.0,232402252.0
Diluted EPS,0.0842,0.164845,0.1776,0.4501,0.2526
Basic EPS,0.0842,0.164845,0.1776,0.4501,0.2526
Diluted NI Availto Com Stockholders,19416000.0,37997000.0,41111000.0,104247000.0,58695000.0
Net Income Common Stockholders,19416000.0,37997000.0,41111000.0,104247000.0,58695000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,19416000.0,37997000.0,41111000.0,104247000.0,58695000.0
Net Income Including Noncontrolling Interests,19416000.0,37997000.0,41111000.0,104247000.0,58695000.0
Net Income Discontinuous Operations,0.0,-1019000.0,-965000.0,-7821000.0,-2108000.0
Net Income Continuous Operations,19416000.0,39016000.0,42076000.0,112068000.0,60803000.0
Tax Provision,8133000.0,8588000.0,19309000.0,20284000.0,14803000.0
Pretax Income,27549000.0,47604000.0,61385000.0,132352000.0,75606000.0
Special Income Charges,22000.0,1846000.0,84000.0,436000.0,-449000.0
Other Special Charges,-68000.0,-1754000.0,-26000.0,-318000.0,519000.0
Write Off,46000.0,-92000.0,-58000.0,-118000.0,-70000.0
Impairment Of Capital Assets,,,,0.0,
Net Non Operating Interest Income Expense,-62602000.0,-60390000.0,-57898000.0,-57645000.0,-48535000.0
Total Other Finance Cost,942000.0,838000.0,697000.0,675000.0,2233000.0
Interest Expense Non Operating,64369000.0,63128000.0,63382000.0,66037000.0,51229000.0
Interest Income Non Operating,2709000.0,3576000.0,6181000.0,9067000.0,4927000.0
Operating Income,62423000.0,75274000.0,95077000.0,169314000.0,106224000.0
Operating Expense,64323000.0,77727000.0,62288000.0,46647000.0,67691000.0
Other Operating Expenses,-108000.0,9226000.0,4619000.0,6492000.0,274000.0
Depreciation And Amortization In Income Statement,1853000.0,1734000.0,1725000.0,1679000.0,1977000.0
Depreciation Income Statement,1853000.0,1734000.0,1725000.0,1679000.0,1977000.0
Selling General And Administration,35499000.0,39380000.0,32043000.0,34852000.0,35804000.0
Selling And Marketing Expense,28517000.0,26562000.0,25904000.0,27900000.0,30433000.0
General And Administrative Expense,6982000.0,12818000.0,6139000.0,6952000.0,5371000.0
Gross Profit,126746000.0,153001000.0,157365000.0,215961000.0,173915000.0
Cost Of Revenue,283099000.0,262995000.0,276098000.0,197813000.0,249163000.0
Total Revenue,409845000.0,415996000.0,433463000.0,413774000.0,423078000.0
Operating Revenue,409845000.0,415996000.0,433463000.0,413774000.0,423078000.0
