,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,109620000.0,74484000.0,104635000.0,34405000.0,75511000.0,
Repurchase Of Capital Stock,,,,,,0.0
Repayment Of Debt,-57146000.0,-55082000.0,-56953000.0,-65040000.0,-70037000.0,
Issuance Of Debt,248886000.0,,0.0,0.0,0.0,149036000.0
Capital Expenditure,-23665000.0,-22996000.0,-25316000.0,-21117000.0,-22654000.0,
End Cash Position,527617000.0,261932000.0,280612000.0,250983000.0,316936000.0,
Beginning Cash Position,261932000.0,280612000.0,250983000.0,316936000.0,370728000.0,
Changes In Cash,265685000.0,-18680000.0,29629000.0,-65953000.0,-53792000.0,
Financing Cash Flow,172354000.0,-73864000.0,-74286000.0,-100429000.0,-85726000.0,
Net Other Financing Charges,,0.0,0.0,0.0,163000.0,488000.0
Cash Dividends Paid,,0.0,0.0,,,
Net Common Stock Issuance,,,,,,0.0
Common Stock Payments,,,,,,0.0
Net Issuance Payments Of Debt,191740000.0,-55082000.0,-56953000.0,-65040000.0,-70037000.0,
Net Long Term Debt Issuance,191740000.0,-55082000.0,-56953000.0,-65040000.0,-70037000.0,
Long Term Debt Payments,-57146000.0,-55082000.0,-56953000.0,-65040000.0,-70037000.0,
Long Term Debt Issuance,248886000.0,,0.0,0.0,0.0,149036000.0
Investing Cash Flow,-39954000.0,-42296000.0,-26036000.0,-21046000.0,-66231000.0,
Net Investment Purchase And Sale,,,0.0,0.0,0.0,-31000.0
Sale Of Investment,,,0.0,0.0,0.0,-31000.0
Purchase Of Investment,,,0.0,0.0,0.0,0.0
Net Business Purchase And Sale,-16289000.0,-19300000.0,-720000.0,71000.0,-43577000.0,
Purchase Of Business,-16289000.0,-19300000.0,-720000.0,71000.0,-43577000.0,
Net Intangibles Purchase And Sale,-12997000.0,-10827000.0,-12958000.0,-10436000.0,-8897000.0,
Purchase Of Intangibles,-12997000.0,-10827000.0,-12958000.0,-10436000.0,-8897000.0,
Net PPE Purchase And Sale,-10668000.0,-12169000.0,-12358000.0,-10681000.0,-13757000.0,
Purchase Of PPE,-10668000.0,-12169000.0,-12358000.0,-10681000.0,-13757000.0,
Operating Cash Flow,133285000.0,97480000.0,129951000.0,55522000.0,98165000.0,
Taxes Refund Paid,-1632000.0,-936000.0,-1058000.0,-943000.0,-1607000.0,
Interest Paid Cfo,-40317000.0,-67084000.0,-39782000.0,-62306000.0,-52106000.0,
Change In Working Capital,-97087000.0,-72343000.0,-18471000.0,-131276000.0,-80087000.0,
Change In Other Current Liabilities,8122000.0,7502000.0,14414000.0,-10822000.0,4245000.0,
Change In Other Current Assets,-2140000.0,-11258000.0,-4938000.0,-20657000.0,-18225000.0,
Change In Accrued Expense,10391000.0,-30712000.0,9935000.0,25252000.0,2732000.0,
Change In Payable,7195000.0,-13676000.0,-8920000.0,-10975000.0,-1620000.0,
Change In Receivables,-120655000.0,-24199000.0,-28962000.0,-114074000.0,-67219000.0,
Other Non Cash Items,67680000.0,49934000.0,59379000.0,53115000.0,60520000.0,
Stock Based Compensation,394000.0,,547000.0,866000.0,867000.0,
Provisionand Write Offof Assets,66525000.0,50636000.0,49749000.0,59034000.0,59028000.0,
Depreciation And Amortization,55897000.0,59490000.0,54209000.0,55711000.0,55230000.0,
Depreciation,55897000.0,59490000.0,54209000.0,55711000.0,55230000.0,
Gain Loss On Investment Securities,5557000.0,780000.0,3353000.0,-6500000.0,2679000.0,
Net Income From Continuing Operations,82190000.0,75556000.0,19195000.0,82798000.0,53191000.0,
