,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1189279000.0,-320366000.0,-303502000.0,141372000.0,412407000.0,
Repurchase Of Capital Stock,-41000000.0,-48431000.0,0.0,0.0,-46678000.0,
Repayment Of Debt,-42791000.0,-24256000.0,-44825000.0,-503214000.0,-519535000.0,
Issuance Of Debt,0.0,601398000.0,879184000.0,250121000.0,129204000.0,
Capital Expenditure,-916755000.0,-656666000.0,-501322000.0,-443353000.0,-1093094000.0,
End Cash Position,95263000.0,45593000.0,113452000.0,190344000.0,898588000.0,
Beginning Cash Position,45593000.0,113452000.0,190344000.0,898588000.0,1352343000.0,
Effect Of Exchange Rate Changes,-3886000.0,-1319000.0,-2448000.0,-5889000.0,-82587000.0,
Changes In Cash,53556000.0,-66540000.0,-74444000.0,-702355000.0,-371168000.0,
Financing Cash Flow,-236446000.0,384580000.0,548510000.0,-495680000.0,-565223000.0,
Net Other Financing Charges,0.0,0.0,,,0.0,0.0
Cash Dividends Paid,0.0,0.0,,,0.0,-128612000.0
Common Stock Dividend Paid,0.0,0.0,,,0.0,-128612000.0
Net Common Stock Issuance,-41000000.0,-48431000.0,0.0,0.0,-46678000.0,
Common Stock Payments,-41000000.0,-48431000.0,0.0,0.0,-46678000.0,
Net Issuance Payments Of Debt,-42791000.0,577142000.0,834359000.0,-253093000.0,-390331000.0,
Net Long Term Debt Issuance,-42791000.0,577142000.0,834359000.0,-253093000.0,-390331000.0,
Long Term Debt Payments,-42791000.0,-24256000.0,-44825000.0,-503214000.0,-519535000.0,
Long Term Debt Issuance,0.0,601398000.0,879184000.0,250121000.0,129204000.0,
Investing Cash Flow,-1816032000.0,-787420000.0,-820774000.0,-791400000.0,-1311446000.0,
Net Other Investing Changes,,,0.0,559000.0,,-387746000.0
Dividends Received Cfi,0.0,0.0,,,0.0,0.0
Net Investment Purchase And Sale,-903837000.0,-133328000.0,-324130000.0,-349660000.0,-224664000.0,
Sale Of Investment,,,,,-224664000.0,528804000.0
Purchase Of Investment,-903278000.0,,,-349660000.0,0.0,
Net PPE Purchase And Sale,-563079000.0,-283566000.0,-142753000.0,-106656000.0,-604394000.0,
Sale Of PPE,4001000.0,3133000.0,1962000.0,1054000.0,6312000.0,
Purchase Of PPE,-567080000.0,-286699000.0,-144715000.0,-107710000.0,-610706000.0,
Capital Expenditure Reported,-349675000.0,-369967000.0,-356607000.0,-335643000.0,-482388000.0,
Operating Cash Flow,2106034000.0,336300000.0,197820000.0,584725000.0,1505501000.0,
Taxes Refund Paid,-3221000.0,-11414000.0,-14442000.0,-9953000.0,-7183000.0,
Interest Paid Cfo,-77392000.0,-273334000.0,-77116000.0,-239628000.0,-90810000.0,
Change In Working Capital,942439000.0,-199551000.0,-519581000.0,-60089000.0,586794000.0,
Change In Other Current Liabilities,-91212000.0,97357000.0,-13262000.0,-23163000.0,-200915000.0,
Change In Other Current Assets,219303000.0,-231162000.0,66904000.0,68599000.0,-85078000.0,
Change In Accrued Expense,2454000.0,-52239000.0,-24120000.0,62265000.0,38739000.0,
Change In Payable,-94411000.0,-24128000.0,-10005000.0,286227000.0,-35164000.0,
Change In Inventory,794096000.0,24557000.0,-590338000.0,-313258000.0,685319000.0,
Change In Receivables,120220000.0,-5136000.0,66487000.0,-126634000.0,194015000.0,
Other Non Cash Items,-180243000.0,552614000.0,355915000.0,552084000.0,356633000.0,
Provisionand Write Offof Assets,6435000.0,11970000.0,16298000.0,17580000.0,12807000.0,
Deferred Tax,111719000.0,-286588000.0,44983000.0,70431000.0,44476000.0,
Depreciation And Amortization,400655000.0,194764000.0,230765000.0,259846000.0,423245000.0,
Amortization Cash Flow,,,,,0.0,0.0
Depreciation,400655000.0,194764000.0,230765000.0,259846000.0,423245000.0,
Gain Loss On Investment Securities,28451000.0,-73018000.0,-11532000.0,-66788000.0,76775000.0,
Net Income From Continuing Operations,172851000.0,424081000.0,176416000.0,62829000.0,105041000.0,
