,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-30802000.0,-39969720.0,13929120.0,8731540.0,-3800520.0,
Tax Rate For Calcs,0.4,0.34,0.34,0.34,0.34,
Normalized EBITDA,506257000.0,436194000.0,448827000.0,339024000.0,484930000.0,
Total Unusual Items,-77005000.0,-73351000.0,40968000.0,25681000.0,-11178000.0,
Total Unusual Items Excluding Goodwill,-77005000.0,-117558000.0,40968000.0,25681000.0,-11178000.0,
Net Income From Continuing Operation Net Minority Interest,65690000.0,-48377000.0,97750000.0,3528000.0,128590000.0,
Reconciled Depreciation,196566000.0,199100000.0,204992000.0,204106000.0,207421000.0,
Reconciled Cost Of Revenue,536858000.0,542586000.0,540117000.0,579855000.0,518473000.0,
EBITDA,429252000.0,362843000.0,489795000.0,364705000.0,473752000.0,
EBIT,232686000.0,163743000.0,284803000.0,160599000.0,266331000.0,
Interest Expense,181809000.0,200605000.0,200273000.0,176755000.0,158237000.0,
Interest Income,32500000.0,16241000.0,44290000.0,13805000.0,24727000.0,
Normalized Income,111893000.0,29211280.0,70711120.0,-13421460.0,135967480.0,
Net Income From Continuing And Discontinued Operation,65690000.0,-48377000.0,97750000.0,3528000.0,128590000.0,
Total Expenses,1224316000.0,1148403000.0,1104949000.0,1215852000.0,1201584000.0,
Rent Expense Supplemental,11686000.0,8089000.0,10756000.0,13422000.0,11206000.0,
Total Operating Income As Reported,,162689000.0,257066000.0,,,166140000.0
Diluted Average Shares,265395000.0,,277620000.0,277122000.0,277113000.0,
Basic Average Shares,262962000.0,,275215000.0,273744000.0,275242000.0,
Diluted EPS,0.24752,,0.3521,0.01273,0.46403,
Basic EPS,0.24981,,0.35518,0.01289,0.46719,
Diluted NI Availto Com Stockholders,65690000.0,-48377000.0,97750000.0,3528000.0,128590000.0,
Net Income Common Stockholders,65690000.0,-48377000.0,97750000.0,3528000.0,128590000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,65690000.0,-48377000.0,97750000.0,3528000.0,128590000.0,
Minority Interests,199000.0,1150000.0,-170000.0,419000.0,-85000.0,
Net Income Including Noncontrolling Interests,65491000.0,-49527000.0,97920000.0,3109000.0,128675000.0,
Net Income Continuous Operations,65491000.0,-49527000.0,97920000.0,3109000.0,128675000.0,
Tax Provision,-14614000.0,12665000.0,-13390000.0,-19265000.0,-20581000.0,
Pretax Income,50877000.0,-36862000.0,84530000.0,-16156000.0,108094000.0,
Other Non Operating Income Expenses,4921000.0,4225000.0,3572000.0,4530000.0,3698000.0,
Special Income Charges,-72080000.0,-46316000.0,-471000.0,-144000.0,-3762000.0,
Other Special Charges,72080000.0,2109000.0,471000.0,144000.0,3762000.0,
Net Non Operating Interest Income Expense,-200269000.0,-182835000.0,-206696000.0,-204248000.0,-195265000.0,
Total Other Finance Cost,50960000.0,-1529000.0,50713000.0,41298000.0,61755000.0,
Interest Expense Non Operating,181809000.0,200605000.0,200273000.0,176755000.0,158237000.0,
Interest Income Non Operating,32500000.0,16241000.0,44290000.0,13805000.0,24727000.0,
Operating Income,284481000.0,156317000.0,246686000.0,162400000.0,285548000.0,
Operating Expense,687458000.0,605817000.0,564832000.0,635997000.0,683111000.0,
Other Operating Expenses,243392000.0,276894000.0,186364000.0,265969000.0,240947000.0,
Depreciation And Amortization In Income Statement,95608000.0,97029000.0,95106000.0,95058000.0,99280000.0,
Depreciation Income Statement,95608000.0,97029000.0,95106000.0,95058000.0,99280000.0,
Selling General And Administration,253739000.0,152024000.0,175425000.0,171028000.0,250585000.0,
Selling And Marketing Expense,167049000.0,73585000.0,76232000.0,85852000.0,161457000.0,
General And Administrative Expense,86690000.0,78439000.0,99193000.0,85176000.0,89128000.0,
Rent And Landing Fees,941000.0,1038000.0,1022000.0,1100000.0,930000.0,
Gross Profit,971939000.0,762134000.0,811518000.0,798397000.0,968659000.0,
Cost Of Revenue,536858000.0,542586000.0,540117000.0,579855000.0,518473000.0,
Total Revenue,1508797000.0,1304720000.0,1351635000.0,1378252000.0,1487132000.0,
Operating Revenue,1508797000.0,1304720000.0,1351635000.0,1378252000.0,1487132000.0,
