,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,68406000.0,302572000.0,262361000.0,98586000.0,49047000.0,
Repayment Of Debt,-137344000.0,-56211000.0,-32496000.0,-56418000.0,-171686000.0,
Issuance Of Debt,11336000.0,212869000.0,42060000.0,49586000.0,429853000.0,
Issuance Of Capital Stock,,574124000.0,0.0,,,
Capital Expenditure,-13519000.0,-9760000.0,-8645000.0,-7259000.0,-8816000.0,
End Cash Position,1397709000.0,1355394000.0,1287134000.0,1035262000.0,1031724000.0,
Beginning Cash Position,1355394000.0,1287134000.0,1035262000.0,1031724000.0,975224000.0,
Changes In Cash,42315000.0,68260000.0,251872000.0,3538000.0,56500000.0,
Financing Cash Flow,-107278000.0,-295890000.0,-9811000.0,-111517000.0,76448000.0,
Net Other Financing Charges,18730000.0,-3672000.0,-19375000.0,-9639000.0,-6719000.0,
Cash Dividends Paid,,-1023000000.0,0.0,-154338000.0,-175000000.0,-100000000.0
Net Common Stock Issuance,,574124000.0,0.0,,,
Common Stock Issuance,,574124000.0,0.0,,,
Net Issuance Payments Of Debt,-126008000.0,156658000.0,9564000.0,-6832000.0,258167000.0,
Net Long Term Debt Issuance,-126008000.0,156658000.0,9564000.0,-6832000.0,258167000.0,
Long Term Debt Payments,-137344000.0,-56211000.0,-32496000.0,-56418000.0,-171686000.0,
Long Term Debt Issuance,11336000.0,212869000.0,42060000.0,49586000.0,429853000.0,
Investing Cash Flow,67668000.0,51818000.0,-9323000.0,9210000.0,-77811000.0,
Net Investment Purchase And Sale,81187000.0,61578000.0,-678000.0,16469000.0,-68995000.0,
Net Investment Properties Purchase And Sale,,0.0,0.0,,,0.0
Net PPE Purchase And Sale,-13519000.0,-9760000.0,-8645000.0,-7259000.0,-8816000.0,
Operating Cash Flow,81925000.0,312332000.0,271006000.0,105845000.0,57863000.0,
Taxes Refund Paid,-31468000.0,-35813000.0,-33839000.0,-25751000.0,-19852000.0,
Interest Paid Cfo,-38153000.0,-51883000.0,-31861000.0,-44109000.0,-11755000.0,
Dividend Received Cfo,600000.0,,,,498000.0,
Change In Working Capital,-345783000.0,-32329000.0,-84700000.0,-226375000.0,-276875000.0,
Change In Other Current Liabilities,10667000.0,-12390000.0,3092000.0,10346000.0,6069000.0,
Change In Other Current Assets,-99368000.0,59936000.0,44886000.0,25237000.0,26766000.0,
Change In Payable,-104630000.0,-264077000.0,-91856000.0,-95226000.0,-36770000.0,
Change In Prepaid Assets,1455000.0,-2127000.0,154000.0,-8878000.0,1795000.0,
Change In Inventory,167385000.0,190746000.0,71117000.0,172825000.0,246483000.0,
Change In Receivables,-312691000.0,-108000.0,-104499000.0,-323170000.0,-515427000.0,
Other Non Cash Items,43349000.0,56463000.0,53048000.0,58159000.0,63118000.0,
Provisionand Write Offof Assets,50652000.0,36113000.0,38780000.0,41054000.0,38910000.0,
Deferred Tax,4225000.0,136000.0,260000.0,-2894000.0,-8693000.0,
Depreciation And Amortization,8349000.0,9070000.0,8521000.0,8754000.0,8533000.0,
Amortization Cash Flow,72000.0,,,75000.0,68000.0,
Depreciation,8349000.0,9070000.0,8521000.0,8754000.0,8533000.0,
Gain Loss On Sale Of PPE,,0.0,0.0,,,0.0
Net Income From Continuing Operations,392436000.0,337010000.0,319973000.0,298596000.0,264667000.0,
