,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,2646573.0,411740.0,1419400.0,2233792.0,2622162.0,
Tax Rate For Calcs,0.339,0.34,0.235,0.334,0.303,
Normalized EBITDA,71022000.0,62185000.0,67397000.0,63109000.0,53841000.0,
Total Unusual Items,7807000.0,1211000.0,6040000.0,6688000.0,8654000.0,
Total Unusual Items Excluding Goodwill,7807000.0,1211000.0,6040000.0,6688000.0,8654000.0,
Net Income From Continuing Operation Net Minority Interest,34212000.0,51236000.0,41019000.0,33233000.0,31172000.0,
Reconciled Depreciation,19258000.0,17147000.0,17341000.0,17512000.0,17403000.0,
Reconciled Cost Of Revenue,352865000.0,339340000.0,323759000.0,304836000.0,291687000.0,
EBITDA,78829000.0,63396000.0,73437000.0,69797000.0,62495000.0,
EBIT,59571000.0,46249000.0,56096000.0,52285000.0,45092000.0,
Net Interest Income,-369000.0,-2196000.0,187000.0,340000.0,241000.0,
Interest Expense,1711000.0,412000.0,416000.0,242000.0,198000.0,
Interest Income,3795000.0,1795000.0,1771000.0,1941000.0,2340000.0,
Normalized Income,29051573.0,50436740.0,36398400.0,28778792.0,25140162.0,
Net Income From Continuing And Discontinued Operation,34212000.0,51236000.0,41019000.0,33233000.0,31172000.0,
Total Expenses,434642000.0,427906000.0,400491000.0,373262000.0,353809000.0,
Rent Expense Supplemental,858000.0,700000.0,745000.0,684000.0,780000.0,
Total Operating Income As Reported,48277000.0,34807000.0,38982000.0,36072000.0,33790000.0,
Diluted Average Shares,84527000.0,,84465000.0,84367000.0,84527000.0,
Basic Average Shares,84527000.0,,84358000.0,84215000.0,84527000.0,
Diluted EPS,0.4,,0.5,0.41,0.37,
Basic EPS,0.4,,0.51,0.41,0.37,
Diluted NI Availto Com Stockholders,34212000.0,51236000.0,41019000.0,33233000.0,31172000.0,
Net Income Common Stockholders,34212000.0,51236000.0,41019000.0,33233000.0,31172000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,34212000.0,51236000.0,41019000.0,33233000.0,31172000.0,
Minority Interests,-4017000.0,-1473000.0,-1590000.0,-1434000.0,-105000.0,
Net Income Including Noncontrolling Interests,38229000.0,52709000.0,42609000.0,34667000.0,31277000.0,
Net Income Continuous Operations,38229000.0,52709000.0,42609000.0,34667000.0,31277000.0,
Tax Provision,19631000.0,-6872000.0,13071000.0,17376000.0,13617000.0,
Pretax Income,57860000.0,45837000.0,55680000.0,52043000.0,44894000.0,
Net Non Operating Interest Income Expense,-369000.0,-2196000.0,187000.0,340000.0,241000.0,
Total Other Finance Cost,2453000.0,3579000.0,1168000.0,1359000.0,1901000.0,
Interest Expense Non Operating,1711000.0,412000.0,416000.0,242000.0,198000.0,
Interest Income Non Operating,3795000.0,1795000.0,1771000.0,1941000.0,2340000.0,
Operating Income,48317000.0,33997000.0,37914000.0,35262000.0,33766000.0,
Operating Expense,81777000.0,88566000.0,76732000.0,68426000.0,62122000.0,
Other Operating Expenses,,882000.0,1067000.0,784000.0,-119000.0,615000.0
Depreciation And Amortization In Income Statement,5211000.0,4186000.0,4223000.0,4330000.0,4440000.0,
Depreciation Income Statement,5211000.0,4186000.0,4223000.0,4330000.0,4440000.0,
Selling General And Administration,30649000.0,41413000.0,29793000.0,27912000.0,25874000.0,
General And Administrative Expense,30649000.0,41413000.0,29793000.0,27912000.0,25874000.0,
Rent And Landing Fees,858000.0,700000.0,745000.0,684000.0,780000.0,
Gross Profit,130094000.0,122563000.0,114646000.0,103688000.0,95888000.0,
Cost Of Revenue,352865000.0,339340000.0,323759000.0,304836000.0,291687000.0,
Total Revenue,482959000.0,461903000.0,438405000.0,408524000.0,387575000.0,
Operating Revenue,482959000.0,461903000.0,438405000.0,408524000.0,387575000.0,
