,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-359472000.0,-234694000.0,291472000.0,-1087053000.0,3325178000.0
Repurchase Of Capital Stock,,,,,-8716000.0
Repayment Of Debt,-419468000.0,-250786000.0,-270402000.0,-577544000.0,-136131000.0
Issuance Of Debt,699635000.0,0.0,0.0,759263000.0,489360000.0
Capital Expenditure,-430811000.0,-885220000.0,-499863000.0,-377036000.0,-658825000.0
End Cash Position,8842373000.0,8871892000.0,14354813000.0,14281539000.0,15185928000.0
Beginning Cash Position,8871892000.0,13584743000.0,14281539000.0,15185928000.0,14479020000.0
Effect Of Exchange Rate Changes,77525000.0,-36082000.0,36514000.0,9265000.0,-22877000.0
Changes In Cash,-107044000.0,-4676769000.0,36760000.0,-913654000.0,729785000.0
Financing Cash Flow,253053000.0,-1091665000.0,-254233000.0,173828000.0,-2595031000.0
Interest Paid Cff,,-408449000.0,,,-396702000.0
Cash Dividends Paid,,-424206000.0,,,-2535000000.0
Net Common Stock Issuance,,,,,-8716000.0
Common Stock Payments,,,,,-8716000.0
Net Issuance Payments Of Debt,280167000.0,-250786000.0,-270402000.0,181719000.0,353229000.0
Net Long Term Debt Issuance,280167000.0,-250786000.0,-270402000.0,181719000.0,353229000.0
Long Term Debt Payments,-419468000.0,-250786000.0,-270402000.0,-577544000.0,-136131000.0
Long Term Debt Issuance,699635000.0,0.0,0.0,759263000.0,489360000.0
Investing Cash Flow,-431436000.0,-4235630000.0,-500342000.0,-377465000.0,-659187000.0
Net Investment Purchase And Sale,-625000.0,-410000.0,-479000.0,-429000.0,-362000.0
Purchase Of Investment,-625000.0,,-479000.0,-429000.0,
Net PPE Purchase And Sale,-430811000.0,-885220000.0,-499863000.0,-377036000.0,-658825000.0
Purchase Of PPE,-430811000.0,-885220000.0,-499863000.0,-377036000.0,-658825000.0
Operating Cash Flow,71339000.0,650526000.0,791335000.0,-710017000.0,3984003000.0
Taxes Refund Paid,-94133000.0,-166884000.0,-104875000.0,-125183000.0,-271643000.0
Interest Paid Cfo,-155061000.0,-160292000.0,-137619000.0,-181376000.0,-185628000.0
Change In Working Capital,-246991000.0,-1005555000.0,309648000.0,-469807000.0,1071425000.0
Change In Other Current Liabilities,,-111323000.0,,,-99615000.0
Change In Other Current Assets,854592000.0,-717191000.0,276937000.0,-356689000.0,1401990000.0
Change In Payable,-704499000.0,222462000.0,140329000.0,-320093000.0,356490000.0
Change In Prepaid Assets,21173000.0,52562000.0,-28828000.0,-61491000.0,50581000.0
Change In Inventory,-71600000.0,-49324000.0,-116356000.0,-168722000.0,-114583000.0
Change In Receivables,-349890000.0,-373569000.0,16439000.0,431983000.0,-494976000.0
Other Non Cash Items,98746000.0,121775000.0,123285000.0,180007000.0,156392000.0
Provisionand Write Offof Assets,,,0.0,0.0,-23530000.0
Deferred Tax,75991000.0,206679000.0,66352000.0,165603000.0,369215000.0
Depreciation And Amortization,356867000.0,326252000.0,317671000.0,312226000.0,283014000.0
Amortization Cash Flow,,,5662000.0,6445000.0,
Depreciation,356867000.0,346223000.0,305564000.0,312226000.0,283014000.0
Gain Loss On Investment Securities,82394000.0,30234000.0,-46844000.0,21809000.0,0.0
Net Foreign Currency Exchange Gain Loss,-228845000.0,73552000.0,136600000.0,-237743000.0,522256000.0
Net Income From Continuing Operations,222368000.0,1194583000.0,115886000.0,-357288000.0,2016032000.0
